TCode,Source
AB08,Automatic-AB08
ABAON,Automatic-ABAON
AFAB,Automatic-AFAB
AFABN,Automatic-AFABN
AIBU,Automatic-AIBU
AIST,Automatic-AIST
CO11,Automatic-CO11
CO11N,Automatic-CO11N
CO13,Automatic-CO13
CO15,Automatic-CO15
CO88,Automatic-CO88
COGI,Automatic-COGI
FB05,Automatic-FB05
FB08,Automatic-FB08
FB11,Automatic-FB11
FB1D,Automatic-FB1D
FB1K,Automatic-FB1K
FB1S,Automatic-FB1S
FBA2,Automatic-FBA2
FBA3,Automatic-FBA3
FBA6,Automatic-FBA6
FBA7,Automatic-FBA7
FBA8,Automatic-FBA8
FBB1,Automatic-FBB1
FBD1,Automatic-FBD1
FBD5,Automatic-FBD5
FBR2,Automatic-FBR2
FBS1,Automatic-FBS1
FBV1,Automatic-FBV1
FBVB,Automatic-FBVB
FBZ1,Automatic-FBZ1
FBZ2,Automatic-FBZ2
KO88,Automatic-KO88
KO8G,Automatic-KO8G
MB01,Automatic-MB01
MB11,Automatic-MB11
MB1A,Automatic-MB1A
MB1B,Automatic-MB1B
MB1C,Automatic-MB1C
MB31,Automatic-MB31
MBRL,Automatic-MBRL
MBST,Automatic-MBST
MI07,Automatic-MI07
MIGO_GI,Automatic-MIGO_GI
MIGO_GO,Automatic-MIGO_GO
MIGO_GR,Automatic-MIGO_GR
MIGO_TR,Automatic-MIGO_TR
MIRO,Automatic-MIRO
ML81N,Automatic-ML81N
MR8M,Automatic-MR8M
VF01,Automatic-VF01
VF02,Automatic-VF02
VF04,Automatic-VF04
VF11,Automatic-VF11
VFX3,Automatic-VFX3
VL01N,Automatic-VL01N
VL02,Automatic-VL02
VL02N,Automatic-VL02N
VL09,Automatic-VL09
CJ88,Automatic-CJ88
MSC2N,Automatic-MSC2N
ABAVN,Manual-ABAVN
ABF1,Manual-ABF1
ABUMN,Manual-ABUMN
CORS,Manual-CORS
F110,Manual-F110
FB01,Manual-FB01
FB50,Manual-FB50
FB60,Manual-FB60
FB65,Manual-FB65
FB70,Manual-FB70
FB75,Manual-FB75
FV50,Manual-FV50
FV70,Manual-FV70
MB0A,Manual-MB0A
MR01,Manual-MR01
MR11,Manual-MR11
MR21,Manual-MR21
MR22,Manual-MR22
MR41,Manual-MR41
MR44,Manual-MR44
PCP0,Manual-PCP0
MRRL,Automatic-MRRL
ML81,Automatic-ML81
ZVF04,Automatic-ZVF04
CJ8G,Automatic-CJ8G
,Manual-
PRRW,Manual-PRRW
ZFI039,Manual-ZFI039
GJCB,Manual-GJCB
ZFI_LATECHGNP,Manual-ZFI_LATECHGNP
AB01,Manual-AB01
ZFI_LATECHGN,Manual-ZFI_LATECHGN
ML85,Manual-ML85
MIR7,Manual-MIR7
MRKO,Manual-MRKO
ZCOCC_E001,Manual-ZCOCC_E001
KSV5,Manual-KSV5
FBCJ,Manual-FBCJ
ABZON,Manual-ABZON
IW41,Manual-IW41
IW45,Manual-IW45
MB26,Manual-MB26
TBB1,Manual-TBB1
TPM10,Manual-TPM10
ZFBB1,Manual-ZFBB1
ZFIF02_ALL,Manual-ZFIF02_ALL
ZSD_ICTR02,Manual-ZSD_ICTR02
FV60,Manual-FV60
ZFI039N,Manual-ZFI039N
CKME,Manual-CKME
ZFI_2138_RECLASS,Manual-ZFI_2138_RECLASS
KEU5,Manual-KEU5
GJG5,Manual-GJG5
COR6N,Manual-COR6N
BD87, Manual-BD87
ZSDC_001, Manual-ZSDC-001
MI10, Manual-MI10
ZSD_PROMO, Manual-ZSD_PROMO
ZFIID_RCLAS_GI_XTEPI, Manual-ZFIID_RCLAS_GI_XTEPI
QA11, Manual-QA11
MR11SHOW, Manual-MR11SHOW
QA12, Manual-QA12